ID,Title,Alternative Title,Year,Certificate,Director,Language,Duration,Country of Origin,Actors,tmdb_id
100368,"Sin otoÒo, sin primavera","No Autumn, No Spring",2012,18,Iv·n Mora Manzano,Spanish,115,"Ecuador, Colombia, France","Enzo Macchiavello, Andres Troya Holst, Paola Baldion, Alejandro Fajardo, LucÌa Moscoso, Andrea Espinoza, Angela PeÒaherrera, Paulina Obrist, AndrÈs Crespo",170502
100259,PensÈ que iba a haber fiesta,I Thought It Was a Party,2012,15,Victoria Galardi,Spanish,84,"Argentina, Spain","Elena Anaya, Valeria Bertuccelli, Fern·n Mir·s, Esteban Bigliardi",209420
100254,El Fant·stico mundo de Juan Orol,The Fantastic World of Juan Orol,2012,15,Sebastian del Amo,Spanish,90,Mexico,"Roberto Sosa, Ximena Gonzalez-Rubio, Karin Burnett, Gabriela de la Garza, Ariadna Perez Mijares, Jes˙s Ochoa, Roger Cudney",208355
100059,Nymphomaniac: Volumes 1 & 2,,2013,18,Lars von Trier,English,,"Germany, Denmark, France, Belgium, Great Britain","Charlotte Gainsbourg, Stellan SkarsgÂrd, Stacy Martin, Shia LaBeouf, Christian Slater, Jamie Bell, Uma Thurman, Willem Dafoe, Mia Goth, Sophie Kennedy Clark, Connie Nielsen, MichaÎl Pas, Jean-Marc Barr, Udo Kier"
99922,British Animation Awards 2014: Programme 3,,2012 - 2013,15,,English,69,Great Britain,
99943,NT Live: A Small Family Business,,,live,,,210,,
99831,British Animation Awards 2014: Programme 1,,2012 - 2013,15,,English,72,Great Britain,
99911,British Animation Awards 2014: Programme 2,,,15,,English,71,Great Britain,
99777,ICA Artists' Moving Image Network/ AurÈlien Froment,,,PG,AurÈlien Froment,,,,
99775,ICA Artistsí Moving Image Network/ Anja Kirschner and David Panos,,,15,"Anja Kirschner, David Panos",,61,"Great Britain, Greece",
99637,ICA Artists' Moving Image Network/ Laure Prouvost,,,15,Laure Prouvost,English,81,,
99618,Bastards,Les salauds,2013,18,Claire Denis,French,100,"France, Germany","Vincent Lindon, Chiara Mastroianni, Julie Bataille, Michel Subor, Lola CrÈton",259610
99621,Stranger by the Lake,L'inconnu du lac,2013,18,Alain Guiraudie,French,100,France,"Pierre Deladonchamps, Christophe Paou, Patrick d'AssumÁao",186992
99104,The Witches,Le Streghe,1967,12A,"Franco Rossi, Luchino Visconti, Mauro Bolognini, Pier Paolo Pasolini, Silvana Mangano, Vittorio De Sica",Italian,112,"Italy, France","Silvana Mangano, Clint Eastwood, Annie Girandot, Francisco Rabal",40244
98705,Los Golfos,The Delinquents,1960,12A,Carlos Saura,Spanish,88,Spain,"Manuel Zarzo, Luis MarÌn, ”scar Cruz, Juanjo Losada, MarÌa Mayer, RamÛn Rubio, Rafael Vargas",198915
99135,Pulp Fiction,,1994,18,Quentin Tarantino,English,154,US,"John Travolta, Uma Thurman, Samuel L Jackson, Tim Roth, Amanda Plummer, Bruce Willis",680
99125,Loose Cannons,Mine vaganti,2010,12A,Ferzan Ozpetek,Italian,110,Italy,"Riccardo Scamarcio, Nicole Grimaudo, Alessandro Preziosi",24558
99114,Boomerang Family,Go-ryeong-hwa-ga-jok,2013,15,Song Hae-sung,Korean,112,South Korea,"Park Hae-il, Jin Ji-hee, Kong Hyo-jin, Yoon Je-moon",193689
99106,Viva Maria!,,1965,12,Louis Malle,"English, French, German, Spanish",107,"France, Italy","Brigitte Bardot, Jeanne Moreau, George Hamilton",11799
98780,Something Necessary,,2013,15,Judy Kibinge,Swahili,85,"Germany, Kenya","Susan Wanjiru, Walter Kipchumba Lagat, David Koprotich Mutai, Anne Kimani, Carolyne Chebiwott Kibet, Benjamin Nyagaka",173228
98787,Nairobi Half Life,,2012,15,Tosh Gitonga,Swahili,96,"Germany, Kenya","Joseph Wairimu, Olwenya Maina, Nancy Wanjiku Karanja",130737
